id,naics,num_employees,lat,lon
245168,31135201,10,40.550087,-91.383156
250874,31135201,200,42.317764,-87.8498
262796,31135201,9,41.894955,-87.780266
292616,31135201,1,40.614967,-88.18219
292959,31135201,700,39.005955,-87.752998
314061,31135201,10,42.040527,-87.722366
314525,31135201,123,42.017967,-87.766045
320799,31135201,5,39.782494,-89.667336
333689,31135201,11,40.107601,-88.211197
336372,31135201,1,42.451565,-87.894318
352816,31135201,300,41.647202,-88.438904
30469,31141102,40,41.72662,-87.799721
247978,31141102,20,42.023052,-87.78569
8729,31141202,48,42.048409,-87.982117
12971,31141202,16,41.800449,-88.284477
30378,31141202,10,41.731651,-87.81472
120962,31141202,48,41.94054,-87.766922
122540,31141202,100,41.884979,-87.648994
125413,31141202,9,41.850422,-87.777969
154952,31141202,48,41.997868,-87.9478
155072,31141202,150,41.99786,-87.945549
253566,31141202,15,42.137089,-87.870216
184321,31141204,4,42.47073,-88.432396
284159,31141204,24,41.333172,-87.791046
337078,31141204,18,41.823601,-88.185699
131036,31142101,10,42.207638,-88.340355
215945,31142101,10,42.178944,-87.996887
218674,31142101,3,40.416756,-89.78833
114808,31142103,13,41.863995,-87.72477
118713,31142103,25,41.778049,-87.796227
196603,31142103,2,41.522671,-88.149353
346014,31142103,3,42.135414,-87.928169
93939,31142104,5,41.885117,-87.739586
128216,31142104,99,41.793793,-87.860939
139677,31142104,15,42.013268,-87.91291
329153,31142104,150,41.992283,-88.691643
336242,31142105,3,39.955685,-90.214722
13431,31142106,4,37.902824,-89.525055
336377,31142106,1,42.421902,-87.891396
112553,31142107,10,41.830875,-87.61821
247872,31142107,10,42.033855,-87.811592
6172,31142109,2,42.050396,-87.98716
40662,31142109,4,39.891212,-88.728531
21285,31142201,300,41.893044,-87.904137
143285,31142201,7,41.795124,-87.987419
88846,31142301,4,41.779305,-87.700058
116537,31142301,17,41.8988,-87.658897
161155,31142301,17,42.021595,-87.69606
181034,31142302,15,42.388866,-87.897179
300481,31151101,200,42.285042,-89.101883
207594,31151201,15,41.673901,-87.998009
93324,31151202,5,41.740692,-87.551666
133283,31151301,23,42.487148,-89.448502
200597,31151301,80,42.308559,-89.902832
210697,31151301,100,42.184868,-87.931885
227253,31151301,100,41.913868,-87.852989
254405,31151301,22,42.104599,-87.75
298751,31151301,6,42.227345,-89.006447
326266,31151301,100,42.348331,-90.009003
336468,31151301,45,41.553799,-89.592697
113994,31151402,12,41.908695,-87.745697
115708,31151402,15,41.908695,-87.745697
248072,31151402,72,42.022888,-87.782066
329641,31151403,10,39.563267,-89.307755
2885,31152001,12,41.668034,-87.723366
14972,31152001,10,42.206654,-88.187904
20148,31152001,135,42.261841,-88.83535
25842,31152001,10,40.469704,-88.993492
30386,31152001,10,41.70789,-87.807083
46550,31152001,1,41.956501,-87.712654
88706,31152001,4,41.852093,-87.701103
112218,31152001,10,42.008083,-87.681953
112741,31152001,10,41.873547,-87.695328
166821,31152001,24,41.937187,-87.885513
168691,31152001,2,40.940567,-90.345711
211279,31152001,10,42.009872,-87.717102
211356,31152001,20,41.99754,-87.716537
255553,31152001,10,38.592514,-89.901314
300476,31152001,176,42.248909,-89.132248
308466,31152001,10,42.046539,-88.126587
316154,31152001,11,41.591492,-87.631546
337037,31152001,10,41.813435,-88.164619
345544,31152001,10,41.864456,-88.117874
313704,31161101,6,42.026024,-87.74987
