id,naics,num_employees,lat,lon,size,GEOID
88027,32311301,4,41.989738,-87.731415,Small,17031
88343,32311301,4,41.721321,-87.674995,Small,17031
90277,32311301,4,41.916611,-87.790207,Small,17031
90798,32311301,4,41.87904,-87.636971,Small,17031
91919,32311301,4,41.945339,-87.827042,Small,17031
92551,32311301,4,41.961025,-87.73317,Small,17031
96876,32311301,5,41.968037,-87.769371,Small,17031
97027,32311301,5,41.92622,-87.713028,Small,17031
111878,32311301,10,41.810078,-87.710121,Small,17031
113234,32311301,11,41.886852,-87.771103,Small,17031
113575,32311301,12,41.7953,-87.727875,Small,17031
117110,32311301,20,41.971851,-87.688637,Small,17031
122047,32311301,75,41.960625,-87.744949,Medium,17031
124030,32311301,20,41.521633,-87.612747,Small,17031
124278,32311301,4,41.690624,-87.767311,Small,17031
127948,32311301,3,41.79187,-87.869202,Small,17031
128774,32311301,2,41.634876,-87.738342,Small,17031
128999,32311301,11,41.644749,-87.733963,Small,17031
138063,32311301,1,42.025593,-87.916382,Small,17031
138331,32311301,2,42.027184,-87.891899,Small,17031
138458,32311301,3,42.010506,-87.873154,Small,17031
139786,32311301,30,42.01992,-87.929932,Medium,17031
151189,32311301,3,42.040401,-88.262299,Small,17031
153816,32311301,4,42.006187,-87.939018,Small,17031
153862,32311301,4,42.012856,-87.963364,Small,17031
154481,32311301,10,42.031788,-87.974236,Small,17031
154671,32311301,15,42.028927,-87.969246,Small,17031
154842,32311301,26,41.993088,-87.971237,Medium,17031
160027,32311301,4,42.023357,-87.690788,Small,17031
161937,32311301,4,41.72855,-87.699242,Small,17031
164465,32311301,4,41.862827,-87.81012,Small,17031
164471,32311301,4,41.879761,-87.811378,Small,17031
164619,32311301,10,41.860725,-87.80822,Small,17031
164647,32311301,16,41.860725,-87.80822,Small,17031
166726,32311301,10,41.937271,-87.871162,Small,17031
207190,32311301,2,41.67355,-88.001045,Small,17031
211375,32311301,25,42.005085,-87.719902,Medium,17031
226868,32311301,4,41.894661,-87.852364,Small,17031
253706,32311301,27,42.146481,-87.851456,Medium,17031
266995,32311301,3,41.607067,-87.791145,Small,17031
272933,32311301,4,41.697765,-87.817436,Small,17031
274068,32311301,9,41.496658,-87.679474,Small,17031
291890,32311301,8,41.927921,-87.827522,Small,17031
301005,32311301,4,42.090363,-88.034302,Small,17031
326453,32311301,2,42.019871,-88.149094,Small,17031
326577,32311301,4,42.019871,-88.149094,Small,17031
326686,32311301,6,42.019871,-88.149094,Small,17031
327711,32311301,3,41.791519,-87.805626,Small,17031
345817,32311301,1,42.130371,-87.90593,Small,17031
176716,32311701,9,41.552856,-87.630386,Small,17031
30842,32312002,100,41.850925,-87.854095,Large,17031
64376,32312002,3,41.953648,-87.703697,Small,17031
105388,32312002,7,41.987003,-87.702293,Small,17031
113630,32312002,12,41.858856,-87.686951,Small,17031
114899,32312002,14,41.858856,-87.686951,Small,17031
121307,32312002,50,41.951885,-87.677582,Medium,17031
127991,32312002,3,41.792816,-87.859123,Small,17031
154954,32312002,49,41.999584,-87.960503,Medium,17031
155061,32312002,100,42.004395,-87.967773,Large,17031
164636,32312002,13,41.879539,-87.80542,Small,17031
166773,32312002,15,41.935005,-87.887123,Small,17031
253297,32312002,8,42.146622,-87.8535,Small,17031
307128,32312002,4,42.054085,-88.065643,Small,17031
313040,32312002,4,42.033268,-87.73584,Small,17031
46810,32312003,1,41.890148,-87.629509,Small,17031
59457,32312003,2,41.961536,-87.695435,Small,17031
118114,32312005,20,41.985573,-87.786652,Small,17031
152080,32312011,9,42.033886,-88.248352,Small,17031
155016,32312016,70,42.02092,-87.967827,Medium,17031
166631,32312016,6,41.941051,-87.855118,Small,17031
151475,32312022,4,42.00209,-88.244881,Small,17031
154475,32312022,10,42.029221,-87.976944,Small,17031
247045,32312022,2,42.026806,-87.815231,Small,17031
309168,32312022,50,41.998924,-88.095062,Medium,17031
309518,32312022,10,41.955837,-87.861046,Small,17031
85493,32312024,3,41.887657,-87.665817,Small,17031
114962,32312024,14,41.988613,-87.791733,Small,17031
154461,32312024,9,42.002602,-87.957436,Small,17031
262213,32312024,3,41.886406,-87.782547,Small,17031
65119,32312025,3,41.947407,-87.66114,Small,17031
97093,32312025,5,41.954773,-87.692917,Small,17031
109845,32312025,9,41.896404,-87.637764,Small,17031
139781,32312025,30,42.041924,-87.8899,Medium,17031
153348,32312025,3,42.0079,-87.993698,Small,17031
182854,32312025,1,41.589012,-87.636803,Small,17031
183288,32312025,90,41.622166,-87.672478,Medium,17031
183805,32312025,2,41.55003,-87.705681,Small,17031
190294,32312025,3,42.049301,-88.110901,Small,17031
234195,32312025,1,42.035084,-87.773308,Small,17031
234646,32312025,10,42.029613,-87.785927,Small,17031
292116,32312025,3,41.849613,-87.845276,Small,17031
316184,32312025,15,41.590012,-87.581085,Small,17031
345879,32312025,1,42.135464,-87.902702,Small,17031
207409,32411002,4,41.690121,-87.948677,Small,17031
7282,32411006,4,42.027039,-87.955894,Small,17031
33085,32411006,80,41.640377,-87.542137,Medium,17031
118510,32411006,23,41.639137,-87.54258,Small,17031
5596,32411010,1,42.09,-88.019211,Small,17031
15686,32411010,8,42.01088,-88.256546,Small,17031
30689,32411010,4,41.859158,-87.866707,Small,17031
65150,32411010,3,41.873283,-87.719467,Small,17031
87617,32411010,4,41.737793,-87.643425,Small,17031
87696,32411010,4,41.886066,-87.625542,Small,17031
88640,32411010,4,41.91988,-87.675591,Small,17031
90057,32411010,4,41.699944,-87.642242,Small,17031
90543,32411010,4,41.837948,-87.642921,Small,17031
90862,32411010,4,41.854813,-87.725204,Small,17031
90994,32411010,4,41.767723,-87.586838,Small,17031
91591,32411010,4,41.736279,-87.614227,Small,17031
92159,32411010,4,41.837948,-87.642921,Small,17031
92472,32411010,4,41.8461,-87.628601,Small,17031
121139,32411010,50,41.91412,-87.662918,Medium,17031
